Graph_num, source, destination, for_mst_generation, naive_approach, heap_approach, mst_approach
9, 4086, 1009, 0.077571, 0.10778, 0.005504, 0.01312, 
9, 2561, 1726, 0.077571, 0.116832, 0.007072, 0.014116, 
10, 4823, 257, 0.07619, 0.12558, 0.008371, 0.013907, 
10, 4048, 4217, 0.07619, 0.044756, 0.002628, 0.010632, 
10, 2413, 4608, 0.07619, 0.060322, 0.004272, 0.01186, 
10, 2952, 1832, 0.07619, 0.100151, 0.006712, 0.016808, 
10, 35, 1017, 0.07619, 0.127122, 0.007325, 0.013248, 
10, 4846, 3947, 0.07619, 0.12687, 0.008478, 0.0124, 
10, 2153, 2026, 0.07619, 0.089255, 0.005764, 0.01037, 
10, 3427, 1345, 0.07619, 0.125257, 0.007442, 0.013337, 
10, 3825, 3204, 0.07619, 0.123016, 0.006528, 0.012609, 
10, 2912, 307, 0.07619, 0.084122, 0.006435, 0.009277, 
