Graph_num, source, destination, for_mst_generation, naive_approach, heap_approach, mst_approach
9, 1309, 4334, 0.065888, 0.076359, 0.002268, 0.009719, 
10, 3288, 1463, 0.064763, 0.049999, 0.002851, 0.006844, 
10, 2205, 1197, 0.064763, 0.084897, 0.00427, 0.012278, 
10, 1107, 4832, 0.064763, 0.119833, 0.006299, 0.008842, 
10, 951, 81, 0.064763, 0.041477, 0.002058, 0.008374, 
10, 4171, 2652, 0.064763, 0.11635, 0.005327, 0.010156, 
10, 3502, 3680, 0.064763, 0.075685, 0.003956, 0.007808, 
10, 1777, 84, 0.064763, 0.105571, 0.005281, 0.010643, 
10, 3678, 2199, 0.064763, 0.104434, 0.00505, 0.010908, 
10, 756, 1665, 0.064763, 0.0259, 0.001589, 0.010969, 
10, 2873, 325, 0.064763, 0.00149, 0.000261, 0.007207, 
